1491;TRIOESMMXXX
1494;BCITESMMXXX
1505;ARABESMMXXX
1524;UBIBESMMXXX
1534;KBLXESMMXXX
1538;ICBKESMMXXX
1541;BCMAESMMXXX
1544;BACAESMMXXX
1545;AGRIESMMXXX
2000;CECAESMMXXX
2010;CECAESMM010
2013;CESCESBBXXX
2017;CECAESMM017
2018;CECAESMM018
2024;CECAESMM024
2030;CECAESMM030
2031;CECAESMM031
2032;CECAESMM032
2037;CECAESMM037
2038;CAHMESMMXXX
2040;CECAESMM040
2041;CECAESMM041
2042;CECAESMM042
2043;CECAESMM043
2045;CECAESMM045
2048;CECAESMM048
2051;CECAESMM051
2052;CECAESMM052
2054;CANVES2PXXX
2056;CECAESMM056
2059;CECAESMM059
2065;CECAESMM065
2066;CECAESMM066
2069;CECAESMM069
2071;CECAESMM071
2073;CECAESMM073
2074;CECAESMM074
2077;CVALESVVXXX
2080;CAGLESMMVIG
2081;CECAESMM081
2085;CAZRES2ZXXX
2086;CECAESMM086
2090;CAAMES2AXXX
2091;CAVIES2VXXX
2092;CECAESMM092
2094;CECAESMM094
2095;BASKES2BXXX
2096;CSPAES2LXXX
2097;CECAESMM097
2098;CECAESMM098
2099;CECAESMM099
2100;CAIXESBBXXX
2101;CGGKES22XXX
2103;UCJAES2MXXX
2104;CSSOES2SXXX
2105;CECAESMM105
2106;CECAESMM106
2107;BBVAESMM107
3001;BCOEESMM001
3005;BCOEESMM005
3007;BCOEESMM007
3008;BCOEESMM008
3009;BCOEESMM009
3016;BCOEESMM016
3017;BCOEESMM017
3018;BCOEESMM018
3020;BCOEESMM020
3021;BCOEESMM021
3022;BCOEESMM022
3023;BCOEESMM023
3025;CDENESBBXXX
3029;CCRIES2A029
3035;CLPEES2MXXX
3045;CCRIES2A045
3056;BCOEESMM056
3058;CCRIES2AXXX
3059;BCOEESMM059
3060;BCOEESMM060
3062;BCOEESMM062
3063;BCOEESMM063
3064;BCOEESMM064
3067;BCOEESMM067
3070;BCOEESMM070
3076;BCOEESMM076
3078;BCOEESMM078
3080;BCOEESMM080
3081;BCOEESMM081
3082;CCRIES2A082
3084;CVRVES2BXXX
3085;BCOEESMM085
3089;BCOEESMM089
3094;CCRIES2A094
3095;CCRIES2A095
3096;BCOEESMM096
3098;BCOEESMM098
3102;BCOEESMM102
3104;BCOEESMM104
3105;CCRIES2A105
3110;BCOEESMM110
3111;BCOEESMM111
3112;CCRIES2A112
3113;BCOEESMM113
3114;BCOEESMM114
3115;BCOEESMM115
3116;BCOEESMM116
3117;BCOEESMM117
3118;CCRIES2A118
3119;CCRIES2A119
3121;CCRIES2A121
3123;CCRIES2A123
3127;BCOEESMM127
3128;BCOEESMM128
3130;BCOEESMM130
3134;BCOEESMM134
3135;CCRIES2A135
3137;CCRIES2A137
3138;BCOEESMM138
3140;BCOEESMM140
3144;BCOEESMM144
3146;CCCVESM1XXX
3150;BCOEESMM150
3152;CCRIES2A152
3157;CCRIES2A157
3159;BCOEESMM159
3160;CCRIES2A160
3161;BCOEESMM161
3162;BCOEESMM162
3165;CCRIES2A165
3166;BCOEESMM166
3171;CXAVESB1XXX
3174;BCOEESMM174
3177;BCOEESMM177
3179;CCRIES2A179
3183;CASDESBBXXX
3186;CCRIES2A186
3187;BCOEESMM187
3188;CCRIES2A188
3189;BCOEESMM189
3190;BCOEESMM190
3191;BCOEESMM191
9000;ESPBESMMXXX
9045;BCOEESMM045
9082;BCOEESMM082
9095;BCOEESMM095
9105;BCOEESMM105
9112;BCOEESMM112
9118;BCOEESMM118
9119;BCOEESMM119
9121;BCOEESMM121
9135;BCOEESMM135
9152;BCOEESMM152
9157;BCOEESMM157
9160;BCOEESMM160
9165;BCOEESMM165
9179;BCOEESMM179
9188;BCOEESMM188
